|==================================================
| LXC Manager Created
| Simulation has 4 timelines
|==================================================
LXC proxy initialization: lxc0-0 successfull
LXC proxy initialization: lxc1-0 successfull
LXC proxy initialization: lxc2-0 successfull
 ____________________________________________
|
| Printing out Info about Timeline 0 ...
|_____
      | Timeline 0 has Proxy LXC lxc0-0
      |______________________________________
 ____________________________________________
|
| Printing out Info about Timeline 1 ...
|_____
      | Timeline 1 has Proxy LXC lxc1-0
      |______________________________________
 ____________________________________________
|
| Printing out Info about Timeline 2 ...
|_____
      | Timeline 2 has Proxy LXC lxc2-0
      |______________________________________
 ____________________________________________
|
| Printing out Info about Timeline 3 ...
|_____
      | Timeline 3 has has no LXC proxies
      |______________________________________
|==================================================
| Creating and Launching LXCs                      
|==================================================

|==================================================
| Dilating and Adding LXCs to Experiment           
|==================================================

GET LXC lxc0-0 TDF 5.000000 PID 3765 Finished
GET LXC lxc1-0 TDF 5.000000 PID 3842 Finished
GET LXC lxc2-0 TDF 5.000000 PID 3876 Finished
|==================================================
| Calling SynchronizeAndFreeze. Syncing up LXCs
|==================================================

| lxc0-0 Frozen at [ 1460566997 sec 300333 usec ]
| lxc1-0 Frozen at [ 1460566997 sec 300333 usec ]
| lxc2-0 Frozen at [ 1460566997 sec 300333 usec ]

|==================================================
[TL 0 lxc0-0 ], DESIRED TIME 2002 | ACTUAL TIME 1394 | DIFFERENCE 608
[TL 0 lxc0-0 ], DESIRED TIME 2002 | ACTUAL TIME 1395 | DIFFERENCE 608
[TL 0 lxc0-0 ], DESIRED TIME 2002 | ACTUAL TIME 1406 | DIFFERENCE 596
[TL 0 lxc0-0 ], DESIRED TIME 2002 | ACTUAL TIME 1407 | DIFFERENCE 596
[TL 0 lxc0-0 ], DESIRED TIME 2002 | ACTUAL TIME 1417 | DIFFERENCE 585
[TL 0 lxc0-0 ], DESIRED TIME 2002 | ACTUAL TIME 1418 | DIFFERENCE 585
[TL 0 lxc0-0 ], DESIRED TIME 2002 | ACTUAL TIME 1429 | DIFFERENCE 573
[TL 0 lxc0-0 ], DESIRED TIME 2002 | ACTUAL TIME 1430 | DIFFERENCE 573
[TL 0 lxc0-0 ], DESIRED TIME 2002 | ACTUAL TIME 1440 | DIFFERENCE 562
[TL 0 lxc0-0 ], DESIRED TIME 2002 | ACTUAL TIME 1441 | DIFFERENCE 562
[TL 0 lxc0-0 ], DESIRED TIME 2002 | ACTUAL TIME 1452 | DIFFERENCE 550
[TL 0 lxc0-0 ], DESIRED TIME 2002 | ACTUAL TIME 1453 | DIFFERENCE 550
